,call_type,unit_type,latitude,longitude
472,Structure Fire,ENGINE,37.7833590027,-122.416694944
4496,Structure Fire,ENGINE,37.7690761306,-122.4471672894
7035,Structure Fire,TRUCK,37.7851285057,-122.4144553687
9498,Structure Fire,CHIEF,37.7661343875,-122.42193507719999
6650,Structure Fire,MEDIC,37.731677271799995,-122.39899409200001
596,Structure Fire,CHIEF,37.7986027829,-122.42314860209999
485,Structure Fire,RESCUE CAPTAIN,37.770259234,-122.4318322999
7043,Structure Fire,MEDIC,37.7804578378,-122.4286905391
592,Structure Fire,RESCUE SQUAD,37.774283836500004,-122.4670880868
488,Structure Fire,ENGINE,37.795312940900004,-122.3979747506
591,Structure Fire,TRUCK,37.7852173616,-122.4170696114
2793,Structure Fire,CHIEF,37.7848662437,-122.4127821283
4561,Structure Fire,CHIEF,37.7875021793,-122.45278022049999
4501,Structure Fire,TRUCK,37.7690761306,-122.4471672894
4502,Structure Fire,ENGINE,37.7796660426,-122.4137112207
4503,Structure Fire,CHIEF,37.7690761306,-122.4471672894
587,Structure Fire,ENGINE,37.7986027829,-122.42314860209999
6652,Structure Fire,ENGINE,37.781904293400004,-122.4173105329
493,Structure Fire,RESCUE SQUAD,37.7986027829,-122.42314860209999
494,Structure Fire,ENGINE,37.7833590027,-122.416694944
496,Structure Fire,CHIEF,37.7852173616,-122.4170696114
9392,Structure Fire,ENGINE,37.7850617371,-122.4264301277
2788,Structure Fire,TRUCK,37.766428605,-122.45210996360001
9394,Structure Fire,ENGINE,37.7796660426,-122.4137112207
9479,Structure Fire,ENGINE,37.7764643063,-122.4262633449
503,Structure Fire,ENGINE,37.7164595473,-122.4410195602
4556,Structure Fire,CHIEF,37.8044382972,-122.41160547610001
2786,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
7051,Structure Fire,ENGINE,37.7907035506,-122.40071797559999
602,Structure Fire,ENGINE,37.7887868949,-122.4270596733
7189,Structure Fire,TRUCK,37.8032482745,-122.4434396676
4626,Structure Fire,ENGINE,37.8044382972,-122.41160547610001
6627,Structure Fire,ENGINE,37.7800186669,-122.4169261749
4703,Structure Fire,TRUCK,37.743923082100004,-122.43720578
289,Structure Fire,MEDIC,37.7986027829,-122.42314860209999
4378,Structure Fire,TRUCK,37.743923082100004,-122.43720578
292,Structure Fire,CHIEF,37.7852173616,-122.4170696114
7169,Structure Fire,TRUCK,37.748237394,-122.4091747167
768,Structure Fire,CHIEF,37.7833590027,-122.416694944
293,Structure Fire,CHIEF,37.7904950228,-122.40235333700001
6955,Structure Fire,CHIEF,37.8008661593,-122.4354271774
2683,Structure Fire,TRUCK,37.7537685477,-122.48718301209999
6956,Structure Fire,CHIEF,37.731677271799995,-122.39899409200001
298,Structure Fire,TRUCK,37.7164595473,-122.4410195602
6606,Structure Fire,TRUCK,37.7777124404,-122.4127367074
4694,Structure Fire,ENGINE,37.7790321327,-122.40184327440001
3080,Structure Fire,TRUCK,37.8044072929,-122.4133588631
4693,Structure Fire,ENGINE,37.7892141357,-122.4464639892
6607,Structure Fire,TRUCK,37.7623547484,-122.4373423684
2870,Structure Fire,ENGINE,37.8044072929,-122.4133588631
6609,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
4687,Structure Fire,TRUCK,37.7345987087,-122.39034455049999
751,Structure Fire,ENGINE,37.7752607728,-122.4194312298
4388,Structure Fire,ENGINE,37.7892141357,-122.4464639892
747,Structure Fire,RESCUE SQUAD,37.755998442,-122.4094330698
4685,Structure Fire,ENGINE,37.7875021793,-122.45278022049999
3088,Structure Fire,RESCUE SQUAD,37.8044072929,-122.4133588631
313,Structure Fire,MEDIC,37.7852173616,-122.4170696114
3089,Structure Fire,CHIEF,37.766428605,-122.45210996360001
5090,Structure Fire,TRUCK,37.777104530500004,-122.3927504061
2865,Structure Fire,ENGINE,37.766428605,-122.45210996360001
759,Structure Fire,ENGINE,37.755998442,-122.4094330698
3079,Structure Fire,ENGINE,37.805310937899996,-122.4126983591
4708,Structure Fire,ENGINE,37.7892141357,-122.4464639892
9702,Structure Fire,RESCUE SQUAD,37.7860598457,-122.4146435929
806,Structure Fire,CHIEF,37.770259234,-122.4318322999
9743,Structure Fire,ENGINE,37.7661343875,-122.42193507719999
7186,Structure Fire,TRUCK,37.7804578378,-122.4286905391
4738,Structure Fire,CHIEF,37.7690761306,-122.4471672894
4736,Structure Fire,ENGINE,37.7345987087,-122.39034455049999
7183,Structure Fire,CHIEF,37.7804578378,-122.4286905391
6751,Structure Fire,ENGINE,37.7866710638,-122.4509262583
798,Structure Fire,ENGINE,37.7852173616,-122.4170696114
6936,Structure Fire,CHIEF,37.7851285057,-122.4144553687
3213,Structure Fire,ENGINE,37.766428605,-122.45210996360001
796,Structure Fire,ENGINE,37.770259234,-122.4318322999
4730,Structure Fire,TRUCK,37.7345987087,-122.39034455049999
9733,Structure Fire,CHIEF,37.7121958423,-122.4208388501
4723,Structure Fire,TRUCK,37.786409613800004,-122.40803623629999
252,Structure Fire,TRUCK,37.8076904932,-122.4123295588
7180,Structure Fire,ENGINE,37.7804578378,-122.4286905391
9725,Structure Fire,CHIEF,37.7860598457,-122.4146435929
3210,Structure Fire,TRUCK,37.7848662437,-122.4127821283
535,Structure Fire,ENGINE,37.7904950228,-122.40235333700001
9724,Structure Fire,CHIEF,37.7862684417,-122.41299723590001
6747,Structure Fire,MEDIC,37.748237394,-122.4091747167
6745,Structure Fire,ENGINE,37.7956493532,-122.4132086268
6744,Structure Fire,TRUCK,37.7807191769,-122.4153156165
260,Structure Fire,ENGINE,37.7852173616,-122.4170696114
262,Structure Fire,CHIEF,37.774283836500004,-122.4670880868
4370,Structure Fire,ENGINE,37.7345987087,-122.39034455049999
782,Structure Fire,ENGINE,37.770259234,-122.4318322999
267,Structure Fire,CHIEF,37.7833590027,-122.416694944
778,Structure Fire,TRUCK,37.7752607728,-122.4194312298
744,Structure Fire,CHIEF,37.7986027829,-122.42314860209999
668,Structure Fire,CHIEF,37.7833590027,-122.416694944
743,Structure Fire,TRUCK,37.7606516284,-122.4132236774
319,Structure Fire,MEDIC,37.755998442,-122.4094330698
709,Structure Fire,ENGINE,37.755998442,-122.4094330698
5118,Structure Fire,ENGINE,37.7352738344,-122.39141347030001
6985,Structure Fire,TRUCK,37.7904949924,-122.4087846268
5120,Structure Fire,CHIEF,37.7498363176,-122.41828053889999
706,Structure Fire,RESCUE SQUAD,37.7833590027,-122.416694944
9620,Structure Fire,ENGINE,37.7121958423,-122.4208388501
4423,Structure Fire,TRUCK,37.8044382972,-122.41160547610001
5346,Structure Fire,CHIEF,37.7949460514,-122.4291558531
6621,Structure Fire,RESCUE SQUAD,37.7866710638,-122.4509262583
6986,Structure Fire,ENGINE,37.7804578378,-122.4286905391
6988,Structure Fire,ENGINE,37.7893692677,-122.3918582914
2707,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
9614,Structure Fire,CHIEF,37.7862684417,-122.41299723590001
351,Structure Fire,TRUCK,37.7986027829,-122.42314860209999
4430,Structure Fire,CHIEF,37.7875021793,-122.45278022049999
9607,Structure Fire,RESCUE SQUAD,37.7121958423,-122.4208388501
7130,Structure Fire,ENGINE,37.7866710638,-122.4509262583
6995,Structure Fire,CHIEF,37.7851285057,-122.4144553687
374,Structure Fire,ENGINE,37.770259234,-122.4318322999
2837,Structure Fire,TRUCK,37.795312940900004,-122.3979747506
5333,Structure Fire,CHIEF,37.777104530500004,-122.3927504061
4440,Structure Fire,CHIEF,37.7345987087,-122.39034455049999
380,Structure Fire,ENGINE,37.786409613800004,-122.40803623629999
