,call_type,unit_type,latitude,longitude
8628,Alarms,CHIEF,37.728815567699996,-122.3803270134
5884,Alarms,CHIEF,37.7767190508,-122.458611722
3899,Alarms,ENGINE,37.7783718576,-122.4342408374
1286,Alarms,ENGINE,37.7857402819,-122.4138042679
1277,Alarms,CHIEF,37.7752362231,-122.41440629479999
5852,Alarms,CHIEF,37.786912692399994,-122.4097562235
3922,Alarms,TRUCK,37.7870654664,-122.4131598167
8662,Alarms,CHIEF,37.7849108848,-122.4995145655
5843,Alarms,ENGINE,37.7864795346,-122.404724351
8673,Alarms,ENGINE,37.7957194378,-122.4158182673
1249,Alarms,CHIEF,37.778639592,-122.41012084100001
3934,Alarms,ENGINE,37.7688930096,-122.42438060559999
3936,Alarms,CHIEF,37.7783718576,-122.4342408374
1242,Alarms,CHIEF,37.7728829828,-122.39227179209999
1175,Alarms,CHIEF,37.7679576263,-122.40374766149999
8081,Alarms,TRUCK,37.7863072236,-122.4052948452
8765,Alarms,ENGINE,37.7857367879,-122.3891243644
1169,Alarms,TRUCK,37.7842816169,-122.40461464719999
8868,Alarms,TRUCK,37.8031013193,-122.4143431928
8869,Alarms,CHIEF,37.764993728,-122.4439518049
4068,Alarms,CHIEF,37.7459562954,-122.4542399076
8886,Alarms,TRUCK,37.7758548588,-122.445614415
8887,Alarms,TRUCK,37.7857367879,-122.3891243644
5691,Alarms,TRUCK,37.797178599,-122.4101445636
5690,Alarms,CHIEF,37.756857058,-122.40850627110001
5689,Alarms,ENGINE,37.7649491078,-122.4432024674
5687,Alarms,CHIEF,37.7614131281,-122.42722053370001
5710,Alarms,ENGINE,37.7986237777,-122.46063469020001
8898,Alarms,ENGINE,37.736654589400004,-122.42231517379999
4085,Alarms,CHIEF,37.7831634271,-122.4115992789
5683,Alarms,CHIEF,37.7796475431,-122.41138596260001
8907,Alarms,ENGINE,37.7661259455,-122.42207304889999
5677,Alarms,ENGINE,37.7826425027,-122.4078326793
5675,Alarms,CHIEF,37.770787682199995,-122.4004625668
1036,Alarms,TRUCK,37.7890011524,-122.4011429398
5674,Alarms,TRUCK,37.7796475431,-122.41138596260001
8919,Alarms,CHIEF,37.7889450363,-122.4262522617
8923,Alarms,CHIEF,37.7258516222,-122.4027857406
5686,Alarms,ENGINE,37.718722285700004,-122.389118325
8862,Alarms,TRUCK,37.7759935455,-122.4303873232
8860,Alarms,TRUCK,37.7258516222,-122.4027857406
8856,Alarms,CHIEF,37.7759935455,-122.4303873232
1162,Alarms,ENGINE,37.8222647104,-122.3680441341
8774,Alarms,CHIEF,37.7758548588,-122.445614415
5773,Alarms,ENGINE,37.783263687,-122.4070511905
5760,Alarms,ENGINE,37.7986237777,-122.46063469020001
5759,Alarms,ENGINE,37.7223883271,-122.42778194809999
8799,Alarms,TRUCK,37.7843212349,-122.38904057370002
4016,Alarms,CHIEF,37.786566734299996,-122.4072283818
1137,Alarms,TRUCK,37.7833590027,-122.416694944
5745,Alarms,ENGINE,37.786912692399994,-122.4097562235
4022,Alarms,ENGINE,37.7918843298,-122.409983572
8809,Alarms,TRUCK,37.7957194378,-122.4158182673
5743,Alarms,ENGINE,37.7938033883,-122.43904172129999
1125,Alarms,ENGINE,37.7728829828,-122.39227179209999
8816,Alarms,CHIEF,37.8031013193,-122.4143431928
8820,Alarms,ENGINE,37.784181763,-122.41440422069999
5736,Alarms,TRUCK,37.7121495088,-122.4171412257
1112,Alarms,ENGINE,37.7752362231,-122.41440629479999
8829,Alarms,ENGINE,37.7543085854,-122.4241440174
5729,Alarms,ENGINE,37.7863072236,-122.4052948452
8847,Alarms,CHIEF,37.7834768404,-122.4124351407
8849,Alarms,TRUCK,37.7826355124,-122.4148628273
1171,Alarms,ENGINE,37.7190118677,-122.48045074950001
8080,Alarms,CHIEF,37.7977792275,-122.4078279837
8079,Alarms,ENGINE,37.725841089,-122.4788651042
8077,Alarms,TRUCK,37.725841089,-122.4788651042
2508,Alarms,TRUCK,37.73673251,-122.3805665589
6785,Alarms,CHIEF,37.7985818636,-122.4760377653
2501,Alarms,ENGINE,37.7877559111,-122.39070075389999
7369,Alarms,ENGINE,37.7641898783,-122.4204377043
7370,Alarms,ENGINE,37.7910493415,-122.44528660030001
6780,Alarms,ENGINE,37.7912883093,-122.43010298809999
2496,Alarms,TRUCK,37.7868117506,-122.40284972020001
6775,Alarms,ENGINE,37.7808662106,-122.42880323799999
2491,Alarms,CHIEF,37.7865888591,-122.4016922926
3038,Alarms,ENGINE,37.7940071082,-122.433249659
7380,Alarms,TRUCK,37.726151743,-122.39555385879999
2486,Alarms,ENGINE,37.7896024889,-122.3974711898
7385,Alarms,ENGINE,37.7824684162,-122.44859058860001
6772,Alarms,ENGINE,37.7459562954,-122.4542399076
2481,Alarms,CHIEF,37.717513468,-122.4805945745
7391,Alarms,TRUCK,37.7757145344,-122.4768281158
7393,Alarms,CHIEF,37.7388214327,-122.48560378100001
7396,Alarms,ENGINE,37.7664544117,-122.3973856982
7406,Alarms,ENGINE,37.7711351327,-122.4268068773
2466,Alarms,CHIEF,37.7155450528,-122.47362991969999
2488,Alarms,TRUCK,37.7896024889,-122.3974711898
7412,Alarms,ENGINE,37.7388214327,-122.48560378100001
3037,Alarms,CHIEF,37.7951006528,-122.40484784790002
2515,Alarms,CHIEF,37.7812876871,-122.4113180554
2988,Alarms,CHIEF,37.7938853057,-122.4128518274
7283,Alarms,ENGINE,37.7983839597,-122.4183554775
6833,Alarms,CHIEF,37.7892649467,-122.41204908540001
7297,Alarms,CHIEF,37.7757145344,-122.4768281158
3000,Alarms,TRUCK,37.7551739408,-122.4766223732
3002,Alarms,TRUCK,37.789836825900004,-122.40334454479999
6826,Alarms,TRUCK,37.710217410700004,-122.46695479450001
6825,Alarms,ENGINE,37.7825564118,-122.4380318899
3006,Alarms,CHIEF,37.7988360851,-122.4062732495
7355,Alarms,ENGINE,37.7894788173,-122.4145611332
3015,Alarms,ENGINE,37.7356359706,-122.41846588969999
7322,Alarms,ENGINE,37.7946334154,-122.4324650794
3020,Alarms,CHIEF,37.789836825900004,-122.40334454479999
7328,Alarms,TRUCK,37.7912883093,-122.43010298809999
2529,Alarms,ENGINE,37.7951006528,-122.40484784790002
7336,Alarms,CHIEF,37.7891656315,-122.4313628916
2527,Alarms,TRUCK,37.7897614265,-122.4048143711
6807,Alarms,CHIEF,37.7664544117,-122.3973856982
3030,Alarms,TRUCK,37.7940071082,-122.433249659
7346,Alarms,ENGINE,37.7565080013,-122.4065410143
6815,Alarms,CHIEF,37.7946334154,-122.4324650794
7423,Alarms,CHIEF,37.7459562954,-122.4542399076
3074,Alarms,TRUCK,37.7940071082,-122.433249659
7428,Alarms,TRUCK,37.7943459009,-122.4002623919
2391,Alarms,CHIEF,37.7896024889,-122.3974711898
7481,Alarms,CHIEF,37.710217410700004,-122.46695479450001
7484,Alarms,CHIEF,37.7621440348,-122.4215514516
7487,Alarms,CHIEF,37.710217410700004,-122.46695479450001
6699,Alarms,TRUCK,37.7838427739,-122.42276736379999
6698,Alarms,TRUCK,37.7388214327,-122.48560378100001
