,call_type,latitude,longitude
2092,Alarms,37.719145679099995,-122.44563492110001
2094,Alarms,37.774534487800004,-122.4821837717
2106,Alarms,37.710155602600004,-122.412604289
2121,Alarms,37.7693772648,-122.4295114291
2135,Alarms,37.7897614265,-122.4048143711
2142,Alarms,37.7143348137,-122.4920478717
2160,Alarms,37.7834768404,-122.4124351407
2163,Alarms,37.7877559111,-122.39070075389999
2164,Alarms,37.7474217897,-122.4248810747
2172,Alarms,37.7897614265,-122.4048143711
2178,Alarms,37.774534487800004,-122.4821837717
2188,Alarms,37.7791674219,-122.40634642559999
2192,Alarms,37.7813778206,-122.4331620455
2234,Alarms,37.7497020111,-122.4204993342
2237,Alarms,37.7848690868,-122.4650907616
2249,Alarms,37.7155450528,-122.47362991969999
2259,Alarms,37.763968606700004,-122.4241482517
2275,Alarms,37.710155602600004,-122.412604289
2282,Alarms,37.774534487800004,-122.4821837717
2284,Alarms,37.769637599999996,-122.4376111774
2285,Alarms,37.7791674219,-122.40634642559999
2289,Alarms,37.7865888591,-122.4016922926
2317,Alarms,37.7617420538,-122.4484553609
2335,Alarms,37.7511571597,-122.44396837149999
2339,Alarms,37.7834768404,-122.4124351407
2343,Alarms,37.7869521631,-122.44107182280001
2344,Alarms,37.73673251,-122.3805665589
2359,Alarms,37.7236442721,-122.4545988592
2372,Alarms,37.747999680999996,-122.42082186489999
2375,Alarms,37.7592202976,-122.4633116072
2391,Alarms,37.7896024889,-122.3974711898
2402,Alarms,37.7848690868,-122.4650907616
2410,Alarms,37.7848690868,-122.4650907616
2418,Alarms,37.7812876871,-122.4113180554
2423,Alarms,37.7693772648,-122.4295114291
2432,Alarms,37.7700629447,-122.45024394049999
2433,Alarms,37.7877559111,-122.39070075389999
2441,Alarms,37.7693772648,-122.4295114291
2444,Alarms,37.7812876871,-122.4113180554
2447,Alarms,37.7865888591,-122.4016922926
2466,Alarms,37.7155450528,-122.47362991969999
2481,Alarms,37.717513468,-122.4805945745
2486,Alarms,37.7896024889,-122.3974711898
2488,Alarms,37.7896024889,-122.3974711898
2491,Alarms,37.7865888591,-122.4016922926
2496,Alarms,37.7868117506,-122.40284972020001
2501,Alarms,37.7877559111,-122.39070075389999
2508,Alarms,37.73673251,-122.3805665589
2515,Alarms,37.7812876871,-122.4113180554
2527,Alarms,37.7897614265,-122.4048143711
2529,Alarms,37.7951006528,-122.40484784790002
2582,Alarms,37.7565080013,-122.4065410143
2585,Alarms,37.7829534931,-122.41324374870001
2588,Alarms,37.7940071082,-122.433249659
2606,Alarms,37.7705590121,-122.41794958530001
2633,Alarms,37.7669871098,-122.4278571675
2648,Alarms,37.7951006528,-122.40484784790002
2650,Alarms,37.7738617772,-122.413045972
2652,Alarms,37.8054225879,-122.4259588992
2657,Alarms,37.7565080013,-122.4065410143
2660,Alarms,37.776852457800004,-122.41945501209999
2675,Alarms,37.7705590121,-122.41794958530001
2693,Alarms,37.7829534931,-122.41324374870001
2710,Alarms,37.7988360851,-122.4062732495
2717,Alarms,37.7551739408,-122.4766223732
2725,Alarms,37.7165061781,-122.3904177674
2738,Alarms,37.7165061781,-122.3904177674
2743,Alarms,37.789836825900004,-122.40334454479999
2745,Alarms,37.7479586316,-122.4674180088
2763,Alarms,37.7669871098,-122.4278571675
2776,Alarms,37.7738617772,-122.413045972
2785,Alarms,37.7344812749,-122.391912067
2787,Alarms,37.7344812749,-122.391912067
2789,Alarms,37.8054225879,-122.4259588992
2811,Alarms,37.7649777859,-122.46644563790001
2815,Alarms,37.776852457800004,-122.41945501209999
2833,Alarms,37.7938853057,-122.4128518274
2838,Alarms,37.7344812749,-122.391912067
2841,Alarms,37.805391239,-122.4448002008
2845,Alarms,37.7271372788,-122.3789689714
2863,Alarms,37.7649777859,-122.46644563790001
2891,Alarms,37.7671242263,-122.3976400373
2894,Alarms,37.7982454589,-122.4357936593
2895,Alarms,37.7671242263,-122.3976400373
2896,Alarms,37.7551739408,-122.4766223732
2920,Alarms,37.7165061781,-122.3904177674
2921,Alarms,37.7479586316,-122.4674180088
2931,Alarms,37.768462245900004,-122.4312048785
2941,Alarms,37.7982454589,-122.4357936593
2944,Alarms,37.7940071082,-122.433249659
2955,Alarms,37.7705590121,-122.41794958530001
2961,Alarms,37.776852457800004,-122.41945501209999
2969,Alarms,37.7649777859,-122.46644563790001
2971,Alarms,37.768462245900004,-122.4312048785
2974,Alarms,37.7479586316,-122.4674180088
2980,Alarms,37.7669871098,-122.4278571675
2984,Alarms,37.7565080013,-122.4065410143
2988,Alarms,37.7938853057,-122.4128518274
3000,Alarms,37.7551739408,-122.4766223732
3002,Alarms,37.789836825900004,-122.40334454479999
3006,Alarms,37.7988360851,-122.4062732495
3015,Alarms,37.7356359706,-122.41846588969999
3020,Alarms,37.789836825900004,-122.40334454479999
3030,Alarms,37.7940071082,-122.433249659
3037,Alarms,37.7951006528,-122.40484784790002
3038,Alarms,37.7940071082,-122.433249659
3074,Alarms,37.7940071082,-122.433249659
3081,Alarms,37.805391239,-122.4448002008
3090,Alarms,37.7271372788,-122.3789689714
3094,Alarms,37.7938853057,-122.4128518274
3108,Alarms,37.7356359706,-122.41846588969999
3130,Alarms,37.7829534931,-122.41324374870001
3147,Alarms,37.7738617772,-122.413045972
3171,Alarms,37.8054225879,-122.4259588992
3178,Alarms,37.7271372788,-122.3789689714
3182,Alarms,37.768462245900004,-122.4312048785
3197,Alarms,37.805391239,-122.4448002008
3199,Alarms,37.7649777859,-122.46644563790001
3221,Alarms,37.7940071082,-122.433249659
3236,Alarms,37.7356359706,-122.41846588969999
3248,Alarms,37.7671242263,-122.3976400373
3254,Alarms,37.7271372788,-122.3789689714
3264,Alarms,37.7982454589,-122.4357936593
3269,Alarms,37.7988360851,-122.4062732495
3296,Alarms,37.7831634271,-122.4115992789
3321,Alarms,37.782448498200004,-122.41632744180001
3326,Alarms,37.7788798213,-122.43356996360001
3327,Alarms,37.718722285700004,-122.389118325
3338,Alarms,37.7878246694,-122.3970324365
3339,Alarms,37.7834768404,-122.4124351407
3340,Alarms,37.7851111082,-122.4145920383
3343,Alarms,37.784091036199996,-122.41178436950001
3362,Alarms,37.7870654664,-122.4131598167
3365,Alarms,37.805391239,-122.4448002008
3373,Alarms,37.7921242439,-122.42352828959999
3383,Alarms,37.7570337297,-122.476758437
3390,Alarms,37.7918843298,-122.409983572
3392,Alarms,37.7870654664,-122.4131598167
3397,Alarms,37.7980228452,-122.4058632126
3408,Alarms,37.7570337297,-122.476758437
3413,Alarms,37.7688930096,-122.42438060559999
3414,Alarms,37.805391239,-122.4448002008
3418,Alarms,37.786973316,-122.425845943
3422,Alarms,37.7921242439,-122.42352828959999
3427,Alarms,37.784807388699996,-122.4136154383
3428,Alarms,37.7851111082,-122.4145920383
3430,Alarms,37.784091036199996,-122.41178436950001
3435,Alarms,37.7454374721,-122.4368460103
3458,Alarms,37.782448498200004,-122.41632744180001
3463,Alarms,37.7921242439,-122.42352828959999
3476,Alarms,37.783260386100004,-122.4183661542
3490,Alarms,37.786973316,-122.425845943
3491,Alarms,37.786566734299996,-122.4072283818
3496,Alarms,37.7753529597,-122.42934454450001
3497,Alarms,37.7834768404,-122.4124351407
3506,Alarms,37.7980228452,-122.4058632126
3515,Alarms,37.805391239,-122.4448002008
3520,Alarms,37.7831634271,-122.4115992789
3526,Alarms,37.7831634271,-122.4115992789
3532,Alarms,37.7454374721,-122.4368460103
3538,Alarms,37.783260386100004,-122.4183661542
3561,Alarms,37.7688930096,-122.42438060559999
3563,Alarms,37.7454374721,-122.4368460103
